UNK
বললে
ওকে
আসব
সম্ভব
এরা
ব্যাপারে
থাকব
ঘণ্টা
খুশি
ওরা
দশ
প্রচণ্ড
যেত
চাকরি
ঢাকায়
গভীর
করুন
যাচ্ছি
সেলিনা
বদলে
করছিল
কারণে
কাছ
দিয়েছি
নেমে
খান
বয়স
দেয়
পারি
চিন্তা
বিছানায়
ঢাকা
মিয়ার
কথাও
কিভাবে
রেগে
মরে
পড়ছে
উঠতে
ঠিকই
পাড়ার
দেখলাম
পায়
বাস
খানিকটা
জিনিসপত্র
বানিয়ে
জড়িয়ে
দাঁত
কাণ্ড
জানেন
নানান
নিজেও
বোন
উপস্থিত
শোন
রাখা
হাসিনা
লেগে
উঁচু
দেখছে
বলেছি
গন্ধ
ফেলেছে
কথায়
বৃষ্টি
ভদ্রলোক
লোকটি
খাবেন
আসবেন
নিতে
চান
কখন
শরীরটা
ছুটে
ধরতে
ফজলু
যার
দেই
কম
করেই
মিষ্টি
দারুণ
জানা
বিরাট
পড়েছে
সাহেবকে
খালি
কান্না
আছ
তালা
টিপে
পাতা
নামিয়ে
স্বাভাবিক
হলেই
গিয়েছিল
দোকান
পাঁচ
কাঁদতে
নম্বর
পারছেন
চেঁচিয়ে
আসার
সকালে
দেখেই
শোবার
ভেতর
নিল
চেপে
শক্ত
বুড়ো
পুরোপুরি
সাহস
পড়লেন
বাকি
কথার
কিনে
দুজন
ঘুরে
ভাবীর
বস
দুধ
ভুল
লেখা
রিকশায়
করেনি
তিনটা
করেছি
মিস
নাটক
মীরা
পড়া
কেটে
কণ্ঠে
কোনোদিন
আছিস
বলি
ভঙ্গি
চারদিকে
হলেন
জাতীয়
বিশেষ
সামান্য
পার
বাসা
রাখল
ক্লান্ত
সারা
মাসের
চিনতে
পেছনে
কিনা
গাল
দুদিন
আরে
বরং
দেন
এসেছিল
আসা
ফেলবে
পুলিশ
চেনা
সাড়ে
সাবধানে
পরা
অসম্ভব
বিশাল
আসেনি
সারাদিন
পেয়েছে
ছোটখাটো
ঘন
রান্না
হেঁটে
হওয়া
বছর
দুটো
খরচ
বেরিয়ে
পাড়ায়
উত্তর
থাকি
সমস্ত
হাঁটতে
খাও
রাস্তায়
এস
সংসার
কপালে
দূর
সেরে
ইয়াদের
চোখের
রওনা
গাড়ি
ঘড়ি
মেজাজ
করিস
রঙের
নিঃশব্দে
ইতস্তত
সামনের
অসুস্থ
নিচে
বসতে
চেহারা
ব্যবহার
বাতাস
তোমরা
ভিজে
চারদিক
সম্পর্ক
ঘণ্টার
মামুনকে
মেয়েটির
দুপুর
যাওয়ার
জরুরি
ফেললেন
গিয়েছে
মাথার
আলাদা
উঁকি
শুনে
সীমা
ডাক্তারের
কেনা
রোদ
রাস্তার
বিয়েটা
হাই
মুগ্ধ
পাগল
যত
দুই
আসেন
শালা
হাজতে
স্বপ্ন
কাজেই
অস্বস্তি
শান্ত
মেরে
দিয়েছেন
সহ্য
চুল
চশমা
বয়সে
বুঝবে
যাবি
করছ
লিখে
বসেছে
দেবার
চুমুক
করবার
হয়েছিল
সঙ্গেই
নীল
প্রায়ই
পাঠিয়ে
বুঝলি
টাকাপয়সা
ব্যবসা
আপনাদের
শ্বশুর
কিসের
থেমে
গুছিয়ে
গিয়েছিলাম
স্কুল
বলছিস
গল্পের
খুঁজে
আপাকে
যেমন
মেয়েটা
বলছ
হাসির
বাদ
সেকেন্ড
পায়ে
পথে
চলছে
গেট
দরজার
উঠলেন
মামি
ফাঁকা
উপায়
বলবি
যায়নি
করেছ
গেছেন
স্পষ্ট
পেতে
অস্পষ্ট
কয়েকবার
গ্লাস
ব্যথা
লাভ
বলেছেন
বাজার
দুটা
প্রসঙ্গ
মার
ধরিয়ে
খাই
টেবিলে
বাসার
উনার
উঠেছে
ভুলে
বলিস
আরাম
তৈরি
মনের
দল
দি
ভাবতে
যারা
কাগজপত্র
দিব
হৈচৈ
প্রচুর
জিনিসটা
দেখলেন
দেয়নি
আজেবাজে
খুলল
অনেকখানি
নিজেকে
খোলা
মেয়েকে
একেবারে
মাসে
পাচ্ছে
রাখতে
টের
অত্যন্ত
ছেলেটি
চেয়ারে
কয়েকটা
উৎসাহ
নাও
দুজনের
ধমক
দশটা
চায়ে
আপত্তি
তাকাচ্ছে
কাজে
পড়বে
যন্ত্রণা
গোসল
খাতির
পারলেন
সুন্দরী
টানতে
খোঁজখবর
তাড়াতাড়ি
ফেলতে
বিব্রত
ফিরল
হাজার
করলাম
সাদা
বউ
প্যাকেট
আলাপ
ভালমত
চুরি
কাকে
একই
সম্পর্কে
কার
কষ্টে
মহিলা
এদিকে
মনটা
ফর্সা
একগাদা
হলুদ
রঙ
পুরুষ
ভাইকে
পাঁচটা
দোকানের
ঝগড়া
মামলার
মায়া
শিশু
গেলেও
গেটের
চার
মিনিট
ফিরতে
আজই
একশ
ভেবেছিল
জানালা
ছেলেকে
করবি
বলেছিলাম
ভারী
রক্ত
ডাকে
ভাবেই
বিশ্ী
অসুখ
জানো
দেবেন
আমিও
ধরাল
চাপা
চেয়ে
বার
এটাই
বেজে
প্লিজ
ফাঁকে
দশটার
আজকাল
দেখার
ওঠে
এগার
মাছ
ফাইভ
প্রবলেম
ফ্যান
কদিন
প্রতি
সালাম
পেলে
একেবারেই
ঘাম
হাসছে
দাড়ি
বহু
ভাবলাম
চমকে
পেপসি
এতটা
জোগাড়
শোনা
ক্ষমা
ফেরত
কেইস
রিকশাওয়ালা
উঠি
মানুষকে
নেত্রকোনা
চাদর
সেলিনার
কার্ড
সাত
দুবার
তুলল
টেবিল
মাথাব্যথা
লজ্জায়
গলার
স্বর
গতকাল
করছিস
ছাদে
বেশিক্ষণ
সারারাত
পাশের
সিগারেটের
কাজকর্ম
চট
দৃষ্টিতে
দেখবে
দ্রুত
এগারটার
আসলে
ক্ষতি
নেব
নরম
নটার
স্ত্রীর
বিছানা
মাকে
দিয়েই
কিছুদিন
ফিসফিস
দেখেছে
নেন
ওখানে
এতে
তারেক
আশপাশে
যদিও
দেশে
শুনলাম
ধরেই
নেবার
ক্লাসে
যাতে
দূরে
পয়সা
দায়িত্ব
পাকা
কমে
সবই
থেকেই
কয়েকদিন
কাটা
ধরল
বছরের
যাক
রাস্তা
টান
উদাস
শীতল
বুঝলে
দাঁড়াতে
অনেকদিন
মধ্যেই
দড়ি
যাচ্ছ
সরু
নো
কমিটি
দেশের
দ্বিতীয়
আসল
দৃষ্টি
থুথু
কোর্টে
পৌঁছে
আলী
বারবার
নাটকের
মাখন
নষ্ট
সন্ধ্যায়
কানে
দাম
লজ্জিত
গোপন
খাওয়াদাওয়া
পারেনি
রকমের
আগেও
ঘটনা
দেয়ার
চেয়ার
মজার
পানিতে
সুযোগ
অপরিচিত
খায়
বলছিল
মোটা
ঠোঁট
ছুটির
চাবি
বাড়িটা
আশ্চর্য
টিফিন
অনেকক্ষণ
তোদের
বোস
মামাকে
ভাবল
সেদিন
নিভিয়ে
শার্ট
আলো
বেছে
সেও
সবচে
আলম
কয়েক
কাঁচা
চেয়েও
অভ্যাস
বক্তৃতা
থামিয়ে
পথ
পাঞ্জাবি
দেখেছেন
চাইলে
হচ্ছিল
প্রশ্ন
ছিলাম
চুপচাপ
বসিয়ে
খেলে
নোট
বোকা
থাকবি
সরাসরি
পড়াশোনা
কাস্টমার
পৌঁছতে
ইনকোয়ারি
কমিটির
পিঠে
দৃশ্য
খুন
দেখব
ট্রেনে
বিস্মিত
অচেনা
দেখলেই
বুক
ফাইল
নিন
দোস্ত
দিবে
পায়ের
জসীম
নগর
